id, organizationId, firstName, middleName, lastName, email, identification, nickname, phoneNumber, languageId, countryId, password, officeId, job, seniority, profileImageId, profileImageCode, cv, enabled, organizationalUnit, area, account, project, minTokenTime, birthDate, orgEntryDate, tosRead, tosDateRead, customerMode, giveStarTimestamp, giveStarTransactionId, passwordReset, passwordSent, insertDate, deleteDate, searchCriteria
1,1,Starmeup,NULL,User,starmeup@starmeup.com,starmeup@starmeup.com,Starmeup,NULL,1,NULL,,NULL,NULL,NULL,1,hhlnvraynucudgfrjcal,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,starmeup@starmeup.comUserStarmeupUserstarmeup@starmeup.com
2,1,Admin,NULL,StarMeUp,admin@starmeup.com,admin@starmeup.com,Admin,555-5555,1,1,1000:71387fb01187dad79b414d1c76a58e94459af3c57f61bda7:86e6c9456600c8812b084a79f2401a54a6dc4b07ea766359,1,Developer,Senior Dev,1,hhlnvraynucudgfrjcal,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,admin@starmeup.comStarMeUpAdminStarMeUpadmin@starmeup.com
3,3,Starmeup,NULL,User,starmeup@qastarmeup.com,starmeup@qastarmeup.com,Starmeup,NULL,1,NULL,,NULL,NULL,NULL,1,hhlnvraynucudgfrjcal,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,starmeup@qastarmeup.comUserStarmeupUserstarmeup@qastarmeup.com
4,3,John,NULL,Anderson,admin@qastarmeup.com,admin@qastarmeup.com,Admin,555-5555,1,1,1000:71387fb01187dad79b414d1c76a58e94459af3c57f61bda7:86e6c9456600c8812b084a79f2401a54a6dc4b07ea766359,10,Developer,Senior Dev,1,hhlnvraynucudgfrjcal,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,admin@qastarmeup.comQAStarMeUpAdminQAStarMeUpadmin@qastarmeup.com
5,3,John,NULL,Travolta,john@qastarmeup.com,john@qastarmeup.com,Test1,555-5555,1,1,1000:71387fb01187dad79b414d1c76a58e94459af3c57f61bda7:86e6c9456600c8812b084a79f2401a54a6dc4b07ea7663592,10,QA,Senior QA,1,hhlnvraynucudgfrjcal,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,john@qastarmeup.comTravoltaJohnTravoltajohn@qastarmeup.com
6,3,Peter,NULL,Smith,peter@qastarmeup.com,peter@qastarmeup.com,Test2,555-5555,1,1,1000:71387fb01187dad79b414d1c76a58e94459af3c57f61bda7:86e6c9456600c8812b084a79f2401a54a6dc4b07ea7663592,10,WEB,Junior WebUi,1,hhlnvraynucudgfrjcal,NULL,1,NULL,NULL,Test Account 1,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,peter@qastarmeup.comPanPeterPanpeter@qastarmeup.com
7,3,Rocky,NULL,Balboa,balboa@qastarmeup.com,balboa@qastarmeup.com,Rocky,555-5555,1,1,1000:71387fb01187dad79b414d1c76a58e94459af3c57f61bda7:86e6c9456600c8812b084a79f2401a54a6dc4b07ea7663592,11,PM,Semi-Senior PM,1,hhlnvraynucudgfrjcal,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,balboa@qastarmeup.comBalboaRockyBalboabalboa@qastarmeup.com
8,3,Test4,NULL,Pan,test4@qastarmeup.com,test4@qastarmeup.com,Test4,555-5555,1,1,1000:71387fb01187dad79b414d1c76a58e94459af3c57f61bda7:86e6c9456600c8812b084a79f2401a54a6dc4b07ea7663592,11,WEB,Junior WebUi,1,hhlnvraynucudgfrjcal,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,test4@qastarmeup.comPanTest4Pantest4@qastarmeup.com
9,3,Test5,NULL,Pan,test5@qastarmeup.com,test5@qastarmeup.com,Test5,555-5555,1,1,1000:71387fb01187dad79b414d1c76a58e94459af3c57f61bda7:86e6c9456600c8812b084a79f2401a54a6dc4b07ea7663592,11,WEB,Junior WebUi,1,hhlnvraynucudgfrjcal,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,test5@qastarmeup.comPanTest5Pantest5@qastarmeup.com
10,3,Test6,NULL,Pan,test6@qastarmeup.com,test6@qastarmeup.com,Test6,555-5555,1,1,1000:71387fb01187dad79b414d1c76a58e94459af3c57f61bda7:86e6c9456600c8812b084a79f2401a54a6dc4b07ea7663592,11,WEB,Junior WebUi,1,hhlnvraynucudgfrjcal,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,NULL,NULL,test6@qastarmeup.comPanTest6Pantest6@qastarmeup.com
